latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-5.90746,145.83366,327.05,1.26,1.12,2022-05-21,0045,T,84,6.1NRT,297.52,26.54,D
-6.15298,146.05627,318.02,1.31,1.14,2022-05-21,0045,T,75,6.1NRT,297.08,15.19,D
-7.27844,141.23883,312.03,1.04,1.02,2022-05-21,0045,T,0,6.1NRT,295.99,6.44,D
-8.31563,141.58406,309.05,1.01,1.01,2022-05-21,0045,T,50,6.1NRT,294.11,4.79,D
-8.46389,141.96318,309.16,1,1,2022-05-21,0045,T,52,6.1NRT,294.72,4.53,D
-9.33235,147.01514,313.45,1.69,1.28,2022-05-21,0045,T,0,6.1NRT,295.55,10.11,D
-9.33439,147.0303,313.34,1.7,1.28,2022-05-21,0045,T,66,6.1NRT,296.26,10.96,D
-12.97184,141.62881,322.84,1,1,2022-05-21,0048,T,78,6.1NRT,300.99,13.34,D
-12.9795,141.61832,321.17,1,1,2022-05-21,0048,T,72,6.1NRT,299.01,11.84,D
-12.98083,141.6275,382.37,1,1,2022-05-21,0048,T,100,6.1NRT,301.84,157.07,D
-12.4546,133.61005,311.84,2.74,1.58,2022-05-21,0048,T,58,6.1NRT,298.12,20.87,D
-12.45747,133.60236,313.26,2.74,1.58,2022-05-21,0048,T,62,6.1NRT,298.15,25.82,D
-13.39449,134.10548,315.47,2.41,1.5,2022-05-21,0048,T,66,6.1NRT,296.46,24.57,D
-13.41978,134.11765,314.45,2.4,1.49,2022-05-21,0048,T,48,6.1NRT,296.93,20.98,D
-12.89391,130.93224,313.03,4.28,1.91,2022-05-21,0048,T,42,6.1NRT,294.51,45.97,D
-12.90108,130.97118,315.95,4.25,1.91,2022-05-21,0048,T,62,6.1NRT,294.58,67.83,D
-12.91812,130.96802,315.79,4.25,1.91,2022-05-21,0048,T,60,6.1NRT,294.73,65.11,D
-12.89539,130.92427,312.39,4.28,1.91,2022-05-21,0048,T,57,6.1NRT,294.31,47.72,D
-12.90283,130.96324,327.67,4.25,1.91,2022-05-21,0048,T,81,6.1NRT,294.78,169.23,D
-13.729,133.54089,313.45,2.62,1.55,2022-05-21,0048,T,60,6.1NRT,297.2,25.48,D
-13.71942,133.53561,312.95,2.62,1.55,2022-05-21,0048,T,57,6.1NRT,296.89,23.82,D
-14.21994,135.18588,317.58,1.92,1.35,2022-05-21,0048,T,67,6.1NRT,299.87,18.06,D
-14.21116,135.18057,317.62,1.92,1.35,2022-05-21,0048,T,66,6.1NRT,300.43,18.56,D
-14.24749,135.17403,316.76,1.92,1.35,2022-05-21,0048,T,64,6.1NRT,299.7,16.29,D
-13.66805,131.56644,312.8,3.71,1.8,2022-05-21,0048,T,54,6.1NRT,295.67,38.4,D
-13.73299,131.51041,313.22,3.73,1.81,2022-05-21,0048,T,55,6.1NRT,296.08,40,D
-14.39292,135.26805,319.05,1.88,1.34,2022-05-21,0048,T,68,6.1NRT,299.95,20.03,D
-14.40015,135.27756,319.19,1.87,1.34,2022-05-21,0048,T,68,6.1NRT,299.88,18.79,D
-13.72332,131.50488,314.99,3.73,1.81,2022-05-21,0048,T,60,6.1NRT,295.75,49.74,D
-15.50573,141.85155,342.24,1.03,1.02,2022-05-21,0048,T,91,6.1NRT,303.81,38.49,D
-15.50709,141.86113,321.1,1.03,1.02,2022-05-21,0048,T,33,6.1NRT,302.85,9.05,D
-15.51486,141.85022,336.88,1.03,1.02,2022-05-21,0048,T,87,6.1NRT,302.15,28.29,D
-15.51622,141.85979,337.11,1.03,1.02,2022-05-21,0048,T,88,6.1NRT,302.63,29.61,D
-15.51758,141.86937,320.22,1.03,1.02,2022-05-21,0048,T,32,6.1NRT,301.67,8.17,D
-15.53513,141.87061,328.23,1.04,1.02,2022-05-21,0048,T,80,6.1NRT,301.37,17.9,D
-15.55071,141.84875,325.07,1.03,1.02,2022-05-21,0048,T,76,6.1NRT,301.87,14.57,D
-14.60178,135.34142,352.38,1.84,1.33,2022-05-21,0048,T,96,6.1NRT,301.6,144.65,D
-14.60458,135.35823,321.19,1.83,1.33,2022-05-21,0048,T,53,6.1NRT,300.48,23.9,D
-14.59478,135.33556,329.48,1.84,1.33,2022-05-21,0048,T,78,6.1NRT,300.01,46.73,D
-14.59772,135.35237,322.47,1.83,1.33,2022-05-21,0048,T,43,6.1NRT,300.07,25.58,D
-14.60666,135.3334,323.45,1.84,1.33,2022-05-21,0048,T,47,6.1NRT,299.08,31.64,D
-14.60959,135.35025,327.4,1.83,1.33,2022-05-21,0048,T,65,6.1NRT,300.07,40.85,D
-14.61832,135.40053,315.18,1.82,1.32,2022-05-21,0048,T,25,6.1NRT,300.01,12.97,D
-14.24853,130.43872,311.13,4.38,1.93,2022-05-21,0048,T,38,6.1NRT,295.22,48.48,D
-14.24935,130.43077,313.24,4.38,1.93,2022-05-21,0048,T,56,6.1NRT,295.24,63.61,D
-15.81145,136.46683,327.88,1.46,1.19,2022-05-21,0048,T,75,6.1NRT,302.6,29.81,D
-15.81463,136.46022,324.5,1.46,1.19,2022-05-21,0048,T,75,6.1NRT,302.4,24.12,D
-15.81691,136.47371,322.63,1.46,1.19,2022-05-21,0048,T,72,6.1NRT,301.83,20.59,D
-15.85964,136.46632,315.95,1.46,1.19,2022-05-21,0048,T,56,6.1NRT,301.98,9.2,D
-15.98109,136.70995,341.14,1.4,1.17,2022-05-21,0048,T,90,6.1NRT,303.93,60.96,D
-15.99157,136.70813,337.15,1.4,1.17,2022-05-21,0048,T,87,6.1NRT,304.27,48.66,D
-16.00416,136.71924,318.29,1.39,1.17,2022-05-21,0048,T,45,6.1NRT,303.52,10.95,D
-16.01201,136.2726,318.41,1.49,1.21,2022-05-21,0048,T,60,6.1NRT,303.8,10.96,D
-16.48442,137.03012,316.34,1.31,1.14,2022-05-21,0048,T,50,6.1NRT,301.92,7.47,D
-16.48641,137.04225,316.57,1.31,1.13,2022-05-21,0048,T,54,6.1NRT,301.92,7.93,D
-17.71992,143.1954,320.75,1.23,1.1,2022-05-21,0050,T,73,6.1NRT,300.26,13.38,D
-17.72147,143.20699,324.11,1.23,1.1,2022-05-21,0050,T,78,6.1NRT,301.54,17.22,D
-18.14084,137.12799,316.43,1.23,1.1,2022-05-21,0050,T,61,6.1NRT,302.01,8.55,D
-19.9039,128.50781,319.02,4.57,1.96,2022-05-21,0050,T,74,6.1NRT,296.2,109.79,D
-19.91231,128.46077,344.99,4.61,1.97,2022-05-21,0050,T,93,6.1NRT,296.18,431.01,D
-19.92138,128.50386,347.65,4.57,1.96,2022-05-21,0050,T,94,6.1NRT,296.41,472.08,D
-19.90233,128.50043,316.96,4.57,1.96,2022-05-21,0050,T,71,6.1NRT,296.21,89.37,D
-19.91046,128.45338,333.13,4.61,1.97,2022-05-21,0050,T,86,6.1NRT,295.76,251.77,D
-19.91982,128.49655,356.1,4.57,1.96,2022-05-21,0050,T,98,6.1NRT,296.83,636.33,D
-22.31008,140.25296,333.68,1.03,1.01,2022-05-21,0050,T,86,6.1NRT,299.39,27.75,D
-22.31146,140.26291,337.35,1.03,1.01,2022-05-21,0050,T,88,6.1NRT,300.59,32.93,D
-22.3192,140.25153,334.56,1.03,1.01,2022-05-21,0050,T,86,6.1NRT,297.59,29.24,D
-22.32058,140.26146,357.29,1.03,1.01,2022-05-21,0050,T,98,6.1NRT,301.14,75.28,D
-22.33109,140.26996,328.08,1.03,1.01,2022-05-21,0050,T,81,6.1NRT,298.32,20.32,D
-30.4467,136.85939,305.75,1,1,2022-05-21,0052,T,55,6.1NRT,292.04,4.74,D
-32.9973,137.59309,305.25,1.02,1.01,2022-05-21,0052,T,46,6.1NRT,292.03,5.03,D
-11.02108,-49.03466,300.69,1.25,1.11,2022-05-21,0130,T,32,6.1NRT,286.89,7.62,N
-10.7701,-48.53204,302.05,1.17,1.08,2022-05-21,0130,T,46,6.1NRT,284.13,7.24,N
-10.60658,-48.75336,301.58,1.2,1.09,2022-05-21,0130,T,42,6.1NRT,286.16,7.37,N
-10.44269,-48.89972,301.4,1.21,1.1,2022-05-21,0130,T,41,6.1NRT,285.22,7.64,N
-10.04574,-47.74455,319.75,1.07,1.03,2022-05-21,0130,T,99,6.1NRT,289.6,19.62,N
-10.03846,-47.74158,310.44,1.07,1.03,2022-05-21,0130,T,80,6.1NRT,288.38,11.75,N
-10.0398,-47.75127,306.07,1.07,1.03,2022-05-21,0130,T,67,6.1NRT,288.51,8.47,N
-10.0558,-49.20501,326.96,1.25,1.11,2022-05-21,0130,T,100,6.1NRT,287.81,35.92,N
-10.05727,-49.21639,311.49,1.25,1.11,2022-05-21,0130,T,83,6.1NRT,286.92,15.72,N
-10.05482,-49.19936,305.72,1.25,1.11,2022-05-21,0130,T,65,6.1NRT,286.67,10.38,N
-10.05636,-49.2107,327.5,1.25,1.11,2022-05-21,0130,T,100,6.1NRT,287.74,37.35,N
-9.36272,-49.51177,315.9,1.28,1.12,2022-05-21,0130,T,92,6.1NRT,286.17,21.75,N
-9.36263,-49.50587,301.15,1.28,1.12,2022-05-21,0130,T,38,6.1NRT,286.37,7.3,N
-9.36421,-49.51748,311.82,1.28,1.12,2022-05-21,0130,T,83,6.1NRT,285.29,17.11,N
-8.68094,-45.67344,301.97,1.02,1.01,2022-05-21,0130,T,46,6.1NRT,290.81,4.52,N
-8.52246,-45.08346,302.29,1.06,1.03,2022-05-21,0130,T,48,6.1NRT,291.23,4.46,N
-8.52384,-45.09299,305.55,1.06,1.03,2022-05-21,0130,T,65,6.1NRT,291.04,6.66,N
-8.63291,-46.30495,301.22,1,1,2022-05-21,0130,T,39,6.1NRT,289.99,4.39,N
-8.22069,-45.99252,305.9,1.01,1,2022-05-21,0130,T,66,6.1NRT,289.91,7.25,N
-8.22198,-46.00163,303.98,1.01,1,2022-05-21,0130,T,58,6.1NRT,289.59,6.06,N
-8.07551,-45.68361,306.2,1.02,1.01,2022-05-21,0130,T,67,6.1NRT,290.99,6.83,N
-8.06645,-45.68502,319.63,1.02,1.01,2022-05-21,0130,T,99,6.1NRT,289.98,17.45,N
-8.0474,-46.06752,302.16,1.01,1,2022-05-21,0130,T,47,6.1NRT,289.91,4.87,N
-8.1733,-47.21976,305.88,1.01,1.01,2022-05-21,0130,T,66,6.1NRT,288.5,7.26,N
-7.26302,-47.08886,307.95,1,1,2022-05-21,0130,T,73,6.1NRT,290.83,7.88,N
-7.26428,-47.09785,302.57,1,1,2022-05-21,0130,T,50,6.1NRT,290.7,4.59,N
-7.25278,-47.08114,310.09,1,1,2022-05-21,0130,T,79,6.1NRT,290.96,8.81,N
-6.65984,-48.16608,301.65,1.04,1.02,2022-05-21,0132,T,23,6.1NRT,274.28,5.99,N
-6.66114,-48.17546,316.47,1.04,1.02,2022-05-21,0132,T,93,6.1NRT,273.47,17.18,N
-6.65068,-48.16732,311.02,1.04,1.02,2022-05-21,0132,T,81,6.1NRT,279.58,11.76,N
-6.65199,-48.17675,304.38,1.04,1.02,2022-05-21,0132,T,30,6.1NRT,279.51,7.15,N
-25.1443,-42.94334,314.92,1,1,2022-05-21,0126,T,87,6.1NRT,294.3,11.84,N
-24.95666,-42.46508,308.1,1,1,2022-05-21,0126,T,59,6.1NRT,293.56,6.95,N
-24.5869,-42.26002,308.94,1.01,1,2022-05-21,0126,T,64,6.1NRT,292.91,7.8,N
-23.24707,-38.9428,309.88,1.43,1.18,2022-05-21,0126,T,68,6.1NRT,294.53,12.91,N
-22.80333,-49.38166,316.72,1.91,1.35,2022-05-21,0126,T,94,6.1NRT,279.02,48.71,N
-22.80526,-49.4001,300.5,1.91,1.35,2022-05-21,0126,T,29,6.1NRT,280.03,20.16,N
-20.8595,-41.1406,301.05,1.17,1.08,2022-05-21,0126,T,37,6.1NRT,287.57,6.52,N
-20.85775,-41.14637,305.45,1.17,1.08,2022-05-21,0126,T,64,6.1NRT,287.57,10.29,N
-20.25219,-40.24464,306.02,1.33,1.14,2022-05-21,0126,T,65,6.1NRT,291.01,10.82,N
-20.24368,-40.23946,324.37,1.33,1.14,2022-05-21,0126,T,100,6.1NRT,291.5,33.88,N
-20.24572,-40.25215,302.12,1.33,1.14,2022-05-21,0126,T,18,6.1NRT,289.92,7.04,N
-20.54424,-43.7494,304.64,1,1,2022-05-21,0126,T,61,6.1NRT,283.81,9.42,N
-20.80378,-49.05921,301.45,1.7,1.28,2022-05-21,0126,T,41,6.1NRT,279.44,17.9,N
-19.54042,-42.67242,301.93,1.05,1.02,2022-05-21,0126,T,45,6.1NRT,285.37,7.51,N
-14.66776,-50.45411,340.86,1.76,1.3,2022-05-21,0128,T,100,6.1NRT,281.72,108.97,N
-14.66973,-50.47031,324.45,1.76,1.3,2022-05-21,0128,T,100,6.1NRT,281.01,57.56,N
-14.65607,-50.45572,355.71,1.76,1.3,2022-05-21,0128,T,100,6.1NRT,280.75,178.62,N
-14.65803,-50.47194,337.95,1.76,1.3,2022-05-21,0128,T,100,6.1NRT,280.47,98.64,N
-14.11207,-49.7421,303.28,1.53,1.22,2022-05-21,0128,T,54,6.1NRT,273.02,16.45,N
-14.11382,-49.75617,303.05,1.54,1.22,2022-05-21,0128,T,53,6.1NRT,271.37,16.33,N
-13.44279,-45.46494,301.49,1,1,2022-05-21,0128,T,42,6.1NRT,270.25,8.08,N
-12.60206,-46.41833,324.27,1.02,1.01,2022-05-21,0128,T,100,6.1NRT,288.14,24.05,N
-12.60335,-46.42762,309.51,1.02,1.01,2022-05-21,0128,T,78,6.1NRT,287.55,10.76,N
-12.59302,-46.4197,304.66,1.02,1.01,2022-05-21,0128,T,61,6.1NRT,286.42,7.2,N
-11.74956,-45.90882,305.77,1,1,2022-05-21,0128,T,58,6.1NRT,287.43,8.17,N
-11.75084,-45.91793,303.55,1,1,2022-05-21,0128,T,40,6.1NRT,286.85,6.85,N
-11.74059,-45.91016,309.67,1,1,2022-05-21,0128,T,78,6.1NRT,287.23,10.76,N
-11.63464,-45.81133,302.63,1,1,2022-05-21,0128,T,50,6.1NRT,286.31,6.84,N
-11.39276,-46.77844,303.29,1.02,1.01,2022-05-21,0128,T,54,6.1NRT,288.8,6.55,N
32.9458,3.24278,301.39,3.43,1.74,2022-05-21,0105,A,41,6.1NRT,289.09,36.05,N
31.66965,6.06689,304.62,2.13,1.42,2022-05-21,0105,A,61,6.1NRT,292.36,20.5,N
31.67095,6.0595,303.2,2.13,1.42,2022-05-21,0105,A,54,6.1NRT,292.38,19.08,N
30.97299,5.75171,317.24,2.19,1.44,2022-05-21,0105,A,95,6.1NRT,292.08,50.73,N
30.97103,5.77456,309.57,2.19,1.43,2022-05-21,0105,A,78,6.1NRT,291.66,31.29,N
30.97544,5.74455,307.65,2.19,1.44,2022-05-21,0105,A,72,6.1NRT,291.54,28.97,N
30.97332,5.7674,323.05,2.19,1.43,2022-05-21,0105,A,100,6.1NRT,292.41,69.49,N
28.91354,9.75262,301.26,1.17,1.08,2022-05-21,0107,A,39,6.1NRT,289.37,6.71,N
28.73463,9.79614,302.52,1.16,1.07,2022-05-21,0107,A,50,6.1NRT,289.32,7.69,N
27.92586,9.25213,301.46,1.21,1.09,2022-05-21,0107,A,41,6.1NRT,291.04,6.44,N
-6.06379,11.35476,305.02,2.3,1.47,2022-05-21,0115,A,10,6.1NRT,289.52,17.97,N
41.44638,21.93126,303.11,1.51,1.21,2022-05-21,0102,A,53,6.1NRT,280.38,15.53,N
41.44294,21.94846,328.45,1.52,1.22,2022-05-21,0102,A,100,6.1NRT,283.24,56.03,N
42.68452,12.3926,304.23,1.27,1.12,2022-05-21,0102,A,59,6.1NRT,283.44,12.5,N
38.75134,16.4366,306.39,1.02,1.01,2022-05-21,0105,A,45,6.1NRT,285.56,9.82,N
-17.44194,177.92494,313.83,1.01,1,2022-05-21,0158,A,58,6.1NRT,291.8,8,D
-14.1276,126.46931,312.36,4.19,1.9,2022-05-21,0224,T,0,6.1NRT,298.68,36.53,D
-14.47551,126.17554,315.48,4.03,1.86,2022-05-21,0224,T,64,6.1NRT,300.48,51.59,D
-14.70642,125.40122,315.8,3.53,1.77,2022-05-21,0226,T,64,6.1NRT,298.54,37.5,D
-14.69969,125.39677,314,3.53,1.77,2022-05-21,0226,T,60,6.1NRT,298.6,30.12,D
-15.02067,126.2326,313.08,4.14,1.88,2022-05-21,0226,T,56,6.1NRT,299.6,37.91,D
-15.02717,125.47585,321.27,3.62,1.78,2022-05-21,0226,T,64,6.1NRT,298.66,79.34,D
-15.03056,125.50768,324.29,3.64,1.79,2022-05-21,0226,T,77,6.1NRT,299.5,99.35,D
-15.09632,125.81448,312.66,3.85,1.83,2022-05-21,0226,T,38,6.1NRT,298.87,29.84,D
-15.03874,125.50149,324.9,3.64,1.79,2022-05-21,0226,T,62,6.1NRT,299.03,92.85,D
-15.09906,125.7738,313.48,3.82,1.83,2022-05-21,0226,T,58,6.1NRT,299.34,37.07,D
-15.10261,125.80891,315.32,3.85,1.83,2022-05-21,0226,T,63,6.1NRT,299.58,47.32,D
-15.353,126.71355,314.94,4.54,1.96,2022-05-21,0226,T,62,6.1NRT,297.84,58.15,D
-15.35338,126.70837,316.4,4.54,1.96,2022-05-21,0226,T,66,6.1NRT,297.7,69.64,D
-15.44013,127.04873,317.38,4.82,2,2022-05-21,0226,T,24,6.1NRT,299.6,62.42,D
-15.45818,127.04672,318.96,4.82,2,2022-05-21,0226,T,61,6.1NRT,298.09,81.86,D
-15.45586,127.04008,324.51,4.82,2,2022-05-21,0226,T,77,6.1NRT,298.23,136.05,D
-15.44357,125.30045,312.21,3.55,1.77,2022-05-21,0226,T,53,6.1NRT,298.39,30.56,D
-15.56632,126.50666,318.42,4.41,1.93,2022-05-21,0226,T,68,6.1NRT,299.39,71.87,D
-15.58376,126.50504,315.27,4.41,1.93,2022-05-21,0226,T,41,6.1NRT,298.01,49.83,D
-15.56762,126.50027,319.17,4.41,1.93,2022-05-21,0226,T,63,6.1NRT,299.34,76.15,D
-15.68811,125.29475,317.84,3.57,1.77,2022-05-21,0226,T,67,6.1NRT,298.7,58.26,D
-15.68069,125.28871,313.43,3.57,1.77,2022-05-21,0226,T,55,6.1NRT,298.69,36.31,D
-15.82031,125.61562,312.64,3.8,1.82,2022-05-21,0226,T,52,6.1NRT,298.6,38.56,D
-16.08143,126.62935,314.85,4.57,1.96,2022-05-21,0226,T,59,6.1NRT,298.6,52.21,D
-16.21427,126.52321,316.46,4.5,1.95,2022-05-21,0226,T,62,6.1NRT,295.6,63.47,D
-16.29742,126.63944,314.18,4.61,1.97,2022-05-21,0226,T,32,6.1NRT,297.7,38.63,D
-16.40392,125.55112,330.37,3.82,1.83,2022-05-21,0226,T,78,6.1NRT,300.72,138.41,D
-16.39023,125.5108,330.88,3.8,1.82,2022-05-21,0226,T,76,6.1NRT,301.93,140.92,D
-16.39359,125.54611,330.42,3.82,1.83,2022-05-21,0226,T,75,6.1NRT,302.12,134.05,D
-16.65457,126.62208,326.52,4.64,1.97,2022-05-21,0226,T,79,6.1NRT,300.06,148.1,D
-16.70388,126.5751,318.06,4.61,1.97,2022-05-21,0226,T,58,6.1NRT,298.95,69.25,D
-16.65384,126.61556,326.87,4.64,1.97,2022-05-21,0226,T,79,6.1NRT,299.67,154.77,D
-16.66384,124.88591,314.19,3.43,1.74,2022-05-21,0226,T,49,6.1NRT,300.32,30.59,D
-16.65483,123.66502,321.3,2.76,1.59,2022-05-21,0226,T,72,6.1NRT,296.49,56.1,D
-16.64336,123.66076,312.99,2.76,1.59,2022-05-21,0226,T,22,6.1NRT,297.34,21.19,D
-16.6577,123.6592,319.29,2.76,1.59,2022-05-21,0226,T,68,6.1NRT,296.02,46.26,D
-17.66046,123.88945,316.78,2.97,1.64,2022-05-21,0226,T,50,6.1NRT,303.06,26.69,D
-18.60811,124.1755,324.11,3.21,1.7,2022-05-21,0226,T,46,6.1NRT,298.41,67.41,D
-18.6048,124.16932,326.52,3.21,1.7,2022-05-21,0226,T,51,6.1NRT,299.47,82.05,D
-20.0467,122.89939,328.86,2.69,1.57,2022-05-21,0226,T,79,6.1NRT,304.86,70.12,D
-20.04925,122.92519,324.31,2.7,1.57,2022-05-21,0226,T,73,6.1NRT,302.85,47.87,D
-20.05833,122.87227,338.44,2.68,1.57,2022-05-21,0226,T,87,6.1NRT,303.28,126.97,D
-20.06089,122.89775,361.41,2.69,1.57,2022-05-21,0226,T,100,6.1NRT,305.31,336.01,D
-29.75169,116.04978,308.74,1.25,1.11,2022-05-21,0230,T,60,6.1NRT,297.69,6.13,D
-29.75322,116.06274,318.57,1.25,1.11,2022-05-21,0230,T,76,6.1NRT,297.52,16.86,D
-30.70347,116.54201,309.81,1.36,1.16,2022-05-21,0230,T,65,6.1NRT,295.55,8.74,D
-31.97886,118.88876,305.06,1.98,1.37,2022-05-21,0230,T,54,6.1NRT,292.39,9.69,D
-33.83802,115.81981,338.52,1.36,1.15,2022-05-21,0232,T,91,6.1NRT,290.22,62.69,D
-33.83963,115.83449,309.19,1.36,1.15,2022-05-21,0232,T,34,6.1NRT,289.58,12.83,D
-33.8485,115.81831,320.25,1.36,1.15,2022-05-21,0232,T,80,6.1NRT,289.2,27.89,D
-33.8501,115.83289,310.55,1.36,1.15,2022-05-21,0232,T,70,6.1NRT,289.9,15.48,D
-33.86637,115.25898,300.27,1.27,1.12,2022-05-21,0232,T,22,6.1NRT,289.64,4.8,D
-34.04791,116.52018,301.28,1.49,1.21,2022-05-21,0232,T,46,6.1NRT,289.8,6.68,D
-34.41842,116.69566,300.56,1.55,1.23,2022-05-21,0232,T,37,6.1NRT,290.26,6.83,D
-34.42015,116.71244,319.68,1.55,1.23,2022-05-21,0232,T,69,6.1NRT,290.9,33.13,D
45.12414,127.67289,328.86,1.12,1.06,2022-05-21,0209,T,81,6.1NRT,301.08,25.82,D
41.49202,125.47709,308.03,1.24,1.11,2022-05-21,0209,T,22,6.1NRT,292.19,6.68,D
37.48628,129.06017,316.14,1.01,1.01,2022-05-21,0211,T,55,6.1NRT,304.06,8.39,D
36.98781,126.69756,320.23,1.03,1.01,2022-05-21,0211,T,13,6.1NRT,301.73,9.17,D
35.91102,128.95486,319.86,1.03,1.01,2022-05-21,0211,T,26,6.1NRT,305.28,10.53,D
35.92788,128.42458,313.95,1.01,1,2022-05-21,0211,T,44,6.1NRT,300.73,6.67,D
35.86512,128.83409,323.74,1.02,1.01,2022-05-21,0211,T,48,6.1NRT,307.24,12.51,D
35.87492,128.46957,321.7,1.01,1.01,2022-05-21,0211,T,47,6.1NRT,305.89,11.83,D
35.82279,128.50815,322.12,1.01,1.01,2022-05-21,0211,T,17,6.1NRT,306.73,10.13,D
35.68236,128.45901,321.21,1.01,1.01,2022-05-21,0211,T,32,6.1NRT,305.87,9.53,D
36.81728,116.81157,315.48,3.55,1.77,2022-05-21,0211,T,40,6.1NRT,302.49,44.21,D
35.28806,128.31612,318.61,1.01,1.01,2022-05-21,0211,T,32,6.1NRT,305.02,8.08,D
35.22501,128.24559,315.94,1.01,1,2022-05-21,0211,T,58,6.1NRT,301,6.91,D
52.47797,117.07285,311.73,4.34,1.92,2022-05-21,0206,T,43,6.1NRT,297.79,47.15,D
52.47692,117.06363,313.73,4.34,1.92,2022-05-21,0206,T,60,6.1NRT,298.2,59.82,D
48.16446,126.11554,311.19,1.4,1.17,2022-05-21,0209,T,16,6.1NRT,291.93,10.92,D
46.60649,131.08911,307.28,1,1,2022-05-21,0209,T,40,6.1NRT,294.42,5.79,D
46.59951,131.07362,308.98,1,1,2022-05-21,0209,T,56,6.1NRT,293.31,7.4,D
46.68387,129.94547,306.96,1.02,1.01,2022-05-21,0209,T,0,6.1NRT,295.03,3.22,D
45.57434,134.40625,330.05,1.17,1.08,2022-05-21,0209,T,70,6.1NRT,293.72,29.96,D
46.17845,129.30455,315.41,1.04,1.02,2022-05-21,0209,T,0,6.1NRT,299.68,8.39,D
45.35215,126.19507,319.6,1.29,1.13,2022-05-21,0209,T,54,6.1NRT,303.47,7.35,D
-3.87255,122.39914,315.74,1.43,1.18,2022-05-21,0224,T,61,6.1NRT,294.53,15.11,D
-3.87436,122.41192,313.56,1.44,1.19,2022-05-21,0224,T,58,6.1NRT,295,11.04,D
-8.2228,124.09108,327.57,2.24,1.45,2022-05-21,0224,T,81,6.1NRT,296.62,71.73,D
-8.27496,123.50247,313.99,2.02,1.39,2022-05-21,0224,T,59,6.1NRT,296.89,22.91,D
-8.28002,123.51898,314.56,2.03,1.39,2022-05-21,0224,T,47,6.1NRT,297.78,23,D
-8.10871,112.92622,322.63,1.62,1.25,2022-05-21,0224,T,59,6.1NRT,287.61,35.41,D
-9.33261,119.93655,316.36,1.19,1.08,2022-05-21,0224,T,66,6.1NRT,297.66,9.74,D
13.76379,-10.62017,307.87,1.72,1.29,2022-05-21,0249,A,72,6.1NRT,297.76,10.17,N
13.76131,-10.60532,309.09,1.72,1.29,2022-05-21,0249,A,76,6.1NRT,298.91,11.49,N
11.98075,-14.96047,301.17,1.04,1.02,2022-05-21,0249,A,28,6.1NRT,290.08,3.84,N
11.97933,-14.95107,308.06,1.04,1.02,2022-05-21,0249,A,65,6.1NRT,288.44,9.02,N
-9.07651,146.91212,325.07,1.44,1.19,2022-05-21,0340,A,82,6.1NRT,295.89,29.18,D
-8.42412,141.3418,311.13,3.78,1.82,2022-05-21,0340,A,46,6.1NRT,289.44,40.21,D
-6.93494,146.63452,309.27,1.4,1.17,2022-05-21,0340,A,59,6.1NRT,289.89,9.25,D
-6.66321,146.45712,311.9,1.43,1.18,2022-05-21,0340,A,59,6.1NRT,297.29,7.87,D
-6.54671,146.31641,314.58,1.46,1.19,2022-05-21,0340,A,72,6.1NRT,295.8,11.05,D
-6.54335,146.31059,311.79,1.46,1.19,2022-05-21,0340,A,70,6.1NRT,295.71,7.44,D
-6.06962,147.50145,325.98,1.21,1.09,2022-05-21,0340,A,53,6.1NRT,300.8,18.42,D
-6.07105,147.49123,331.84,1.21,1.09,2022-05-21,0340,A,74,6.1NRT,299.41,29.63,D
-6.22003,146.18182,335.25,1.47,1.2,2022-05-21,0340,A,89,6.1NRT,299.81,47.23,D
-6.19191,146.19943,320.85,1.46,1.2,2022-05-21,0340,A,66,6.1NRT,298.12,19.32,D
-6.20474,146.10799,321.58,1.49,1.2,2022-05-21,0340,A,63,6.1NRT,297.56,22.01,D
-6.2065,146.0954,324.51,1.49,1.21,2022-05-21,0340,A,71,6.1NRT,296.93,29.31,D
-6.18501,146.0919,320.82,1.49,1.21,2022-05-21,0340,A,33,6.1NRT,295.3,19.7,D
-5.96658,147.36966,317.35,1.22,1.1,2022-05-21,0340,A,62,6.1NRT,299.39,10.15,D
-5.88333,145.70331,323.46,1.57,1.24,2022-05-21,0340,A,82,6.1NRT,297.31,26.11,D
-5.88529,145.68927,316.53,1.58,1.24,2022-05-21,0340,A,66,6.1NRT,294.42,13.97,D
-3.8103,143.02841,312.22,2.35,1.48,2022-05-21,0342,A,71,6.1NRT,290.23,24.66,D
-3.8138,143.02205,312.3,2.35,1.48,2022-05-21,0342,A,38,6.1NRT,291.37,22.92,D
-12.97609,141.62468,310.41,4.17,1.89,2022-05-21,0338,A,27,6.1NRT,291.69,51.28,D
-10.00055,147.91982,312.31,1.27,1.12,2022-05-21,0338,A,68,6.1NRT,298.02,6.75,D
-10.01899,147.78001,314.57,1.3,1.13,2022-05-21,0338,A,15,6.1NRT,297.94,9.26,D
-10.02146,147.77489,318.75,1.3,1.13,2022-05-21,0338,A,64,6.1NRT,298.35,14.96,D
-10.01132,147.77348,314.71,1.3,1.13,2022-05-21,0338,A,32,6.1NRT,297.8,9.97,D
-9.98088,147.76941,312.19,1.3,1.13,2022-05-21,0338,A,68,6.1NRT,298.17,8.38,D
